id,proverb,meaning,wrong1,wrong2,wrong3,category
2518,"बरु मर्नू, अर्काको नहुनू",मर्नुपरे पनि पराधीन नहुनु ।,अर्काको कुरा सुन्नु भन्दा बरु मर्नु राम्रो,अरूलाई सहयोग गर्नु भन्दा मर्नु राम्रो,अरूको सम्पत्ति लिनु भन्दा मर्नु राम्रो,Social Behavior and Relationships
2519,"बलियाबाङ्गा बाघलाई, बूढाखाडा माघलाई","बलिया मानिसलाई तागतले मात्र ढाल्छ, तर बूढा र निर्धालाई जाडाले पनि सिध्याउँछ।",बूढाखाडा माघमा बलियो हुन्छ,बाघले माघमा आक्रमण गर्दैन,माघ महिनामा बूढा मानिसहरू बलिया हुन्छन्,Fate and Caution
2520,बाँस होस् न बासुरी बजोस्,हुँदै नभएको कुरो कतैबाट आउँदैन ।,बाँस बिना पनि बासुरी बज्न सक्छ,बासुरी बजाउनलाई बाँस आवश्यक छैन,बासुरी बजाउन बाँसको कुनै भूमिका हुँदैन,Fate and Caution
2521,"बाउन ठक्कर, त्रिपन्न हन्डर (घुस्सा)",धेरै दुःखसास्ती वा जीवनसङ्घर्षको अनुभव।,बाउनले ठक्कर खाएपछि त्रिपन्न जनालाई हन्डर गर्छ,बाउनले ठक्कर खाएपछि त्रिपन्न चोट लाग्छ,बाउनले ठक्कर खाएपछि त्रिपन्न पटक रिसाउँछ,Social Behavior and Relationships
2522,बाघ बूढो भएपछि फट्याङ्ग्रा टिप्छ,अरूलाई सोस्ने मान्छे ठूलो कुरा हात लगाउन नसकेपछि सानातिना वस्तु बटुल्न थाल्छ ।,बाघ बूढो भएपछि उसले शिकार गर्न छोड्छ,बूढो बाघले साना जनावरहरू मात्र खान्छ,बूढो बाघले फट्याङ्ग्रा खान मन पराउँछ,Fate and Caution
2523,"बाघले खाए पनि कीलो रित्तै, भीरबाट लडे पनि कीलो रित्तै",जताबाट पनि नोक्सानी पर्न जाने अवस्था।,बाघले खाए पनि कीलो भरिन्छ,भीरबाट लडे पनि कीलो भरिन्छ,दुबै अवस्थामा कीलो भरिन्छ,Fate and Caution
2524,बाटाबाट हिडे कॉडाले कोर्दैन,ठाउँ नछोडी काम गरे बिगार हुँदैन वा ठक्कर पाइन्न।,बाटोमा हिड्दा काँडाले कहिल्यै कोर्दैन,बाटोमा काँडा हुँदैन,"काँडा बाटोमा मात्र हुन्छ, अरू ठाउँमा हुँदैन",Fate and Caution
2525,"बाबुभन्दा छोरो जान्ने, खुकुरीभन्दा कर्द लाग्ने",ठूलाको अगाडि सानो मान्छे वा बाबुआमाको अगाडि छोराछोरी जान्नेसुन्ने हुँदा प्रयोग गरिने कथन।,बाबु सधैं अज्ञानी हुन्छ,खुकुरीभन्दा कर्द सधैं राम्रो हुन्छ,छोरो बाबुलाई कहिल्यै सम्मान गर्नुपर्दैन,Wisdom and Knowledge
2526,"बाह्र छोरा, तेह्र नाति, बूढाको धोक्रो काँधैमाथि",सन्तान धेरै हुँदैमा सुख पाइने होइन।,बूढोले सबै छोरा-नातिलाई बोकेर हिँड्नुपर्छ,बूढोले धोक्रो काँधमा राखेर छोरा-नातिलाई सधैं साथ दिन्छ,बूढोले आफ्नो धोक्रो छोराहरूलाई दिन चाहँदैन,Social Behavior and Relationships
2527,बाह्र वर्षपछि(मा) खोलो फर्कन्छ,धेरै दिनपछि त्यस्तो दिन आउँछ जुन दिन असम्भव लागेको कुरा पनि सम्भव भइदिन्छ।,खोलोले बाह्र वर्षपछि मात्र बग्न सुरू गर्छ,खोलो बाह्र वर्षसम्म सुक्खा रहन्छ,खोलो बाह्र वर्षपछि मात्र आफ्नो दिशा परिवर्तन गर्छ,Fate and Caution
2528,"बाह्र वर्षमा पोइ आयो, म राँडीलाई ज्वरो आयो",बल्लतल्ल भएको कामकुरामा पनि विघ्नबाधा पर्छ।,पोइ आउनासाथ राँडीले घर छोडेर भागी,बाह्र वर्षसम्म ज्वरो कुर्दै बसिन्,पोइ आउनासाथ राँडी बिरामी परिन्,Fate and Caution
2529,"बालखकी आमा, बूढाकी स्वास्नी",बालखकी आमा र बूढाकी स्वास्नी नभए तिनीहरूले दुःख पाउँछन्।,बालखकी आमा सधैं जवान हुन्छिन्,बूढाकी स्वास्नी सधैं बूढी हुन्छिन्,बालखकी आमा जिम्मेवारीहीन हुन्छिन्,Social Behavior and Relationships
2530,बालुवा निचोरी तेल आउन्न,फल नलाग्ने काममा गरेको मिहिनेत खेर जान्छ ।,बालुवामा तेल लुकेको हुन्छ,बालुवालाई निचोरेर तेल निकाल्न सकिन्छ,जसले बालुवा निचोर्छ उसले तेल पाउँछ,Hard Work and Perseverance
2531,"बाहिरका ठूला, भित्रका लुला",देख्नलाई मात्र निकै भएजस्ता तर मनका फितला ।,बाहिर राम्रो देखिने तर भित्र कमजोर,बाहिर धनी तर भित्र गरिब,बाहिर बोल्न सक्ने तर भित्र डराउने,Social Behavior and Relationships
2532,"बाहिरबाहिर लोकाचार, भित्रभित्र पोको पार",अरूका अगाडि ठिक्क पार्ने र नदेखिने गरी धुले चाल।,बाहिर राम्रो देखिन खोज्ने तर भित्र मन फोहोर राख्ने,"बाहिर सहयोग गर्ने जस्तो देखाउने, भित्रचाहिँ अरूलाई धोका दिने",बाहिरभित्रको कुरा फरक राखेर अरूलाई झुक्याउने,Social Behavior and Relationships
2533,बाहुनको च्याउ खाओस् न स्वाद पाओस्,खाँदै नखाएको वा गर्दै नगरेको कुरामा कसैले पनि अनुभव पाउँदैन।,बाहुनले च्याउ खाँदा रोग लाग्छ,बाहुनलाई च्याउ खान मन पर्दैन,बाहुनले च्याउ खाँदा उसले स्वाद छुट्याउन सक्दैन,Social Behavior and Relationships
2534,"बिँड तातेर के गर्नु, ताप्के ताते पो हुन्छ",मुख्य मानिस नलागी अरूले मात्र काममा हतपत गरेर हुँदैन।,"बिँड मात्र तातो भए पुग्छ, ताप्के तात्न जरूरी छैन","ताप्केले तात्न सक्दैन, त्यसैले बिँड तात्नुपर्छ","ताप्केले काम गर्नै पर्दैन, बिँडले सबै काम गर्छ",Fate and Caution
2535,बिग्रेको मान्छेको भत्केको घर,दुःखीको सबै थोक नासिएको हुन्छ।,बिग्रेको मान्छेले सधैं नयाँ घर बनाउँछ,घर बिग्रिएपछि मान्छे पनि बिग्रिन्छ,मान्छे बिग्रिएपछि घर राम्रो हुन्छ,Fate and Caution
2536,बिसौलीको भाँडालाई धार्नीको पन्यू,सानो माल वा कुराका निम्ति ठूलो र नमिल्ने वस्तुको प्रयोग।,भाँडो सानो भए पनि पन्यू ठूलो हुनुपर्छ,सानो कुरा पनि ठूलो देखाउनुपर्छ,सानो कामलाई ठूलो बनाउनुहोस्,Social Behavior and Relationships
2537,बिहा नभए पनि जन्ती त गएको छु,अनुभवी छु भन्ने कथन ।,मैले बिहे नगरे पनि अरूको बिहेमा नाच्न गएको छु,म महत्वपूर्ण छैन तर उपस्थित छु,मसँग मुख्य भूमिका छैन तर म सहभागी भएको छु,Social Behavior and Relationships
2538,बीउ र जीउ राखे काम लाग्छ,"बीउ जोगाई राखे बेलामा बाली लगाउन पाइन्छ, त्यस्तै स्वास्थ्य तन्दुरुस्थ बनाउन सके कुनै बेला पनि काममा अघि सर्न सकिन्छ ।",बीउ र जीउ राखे मात्र काम हुँदैन,बीउ र जीउ राखेपछि तुरुन्तै फल पाइन्छ,बीउ र जीउ राख्नाले सधैं सफल भइन्छ,Fate and Caution
2539,"बुझ्नेलाई भारी, नबुझ्नेलाई हनुमन्तेपारि","बुझ्नेलाई थोरै भने पुग्छ, नबुझ्नेलाई जति भने पनि केही लाग्दैन ।","बुझ्नेलाई भारी बोक्नुपर्छ, नबुझ्नेलाई हनुमानले पार गर्छ","बुझ्नेलाई भारी हुन्छ, नबुझ्नेलाई सजिलो","बुझ्नेलाई काम दिनुपर्छ, नबुझ्नेलाई हनुमानको पूजा गर्नुपर्छ",Wisdom and Knowledge
2540,"बुझ्नेलाई श्रीखण्ड, नबुझ्नेलाई खुर्पाको बिँड",कुनै उत्कृष्ट कुरा महत्त्व ह पाउनेका निम्ति उत्तम हुन्छ भने महत्त्व थाहा नपाउनेका निम्ति साधारण बन्छ ।,श्रीखण्ड र खुर्पाको बिँड एउटै कुरा हुन्,बुझ्नेलाई श्रीखण्ड भनेको खुर्पाको बिँड उपहार दिने चलन हो,यो उखानले कसैलाई केही नबुझाउने कुरा बताउँछ,Wisdom and Knowledge
2541,बूढाको(बुढेसकाल)पुता यता न उता,"बुढेसकालको छोराले जीवनमा पाल्न पनि सक्दैन, मरेपछि काजकिरिया गर्न पनि गाह्रो पर्छ ।",बूढो मान्छेले केही निर्णय लिन सक्दैन,बूढो मान्छेले कुनै काम गर्न सक्दैन,बूढो मान्छेले सधैं गल्ती गर्छ,Fate and Caution
2542,"बूढा मरे, भाषा (कुरा) सरे",बूढापाका मरेर गए तापनि तिनका अनुभव र कुरा कालान्तरसम्म बाँचिरहन्छन्।,बूढा मरेपछि भाषा हराउँछ,बूढा मरेपछि कसैले कुरा गर्न सक्दैन,बूढा मरेपछि सबै कुरा समाप्त हुन्छ,Wisdom and Knowledge
2543,"बूढी लागी रमितामा, स्यालले कुखुरा बोक्यो",आफ्नो काम छाडेर हिँड्नाले हानि हुन्छ।,बूढीले स्याललाई कुखुरा दिई,रमितामा स्यालले कुखुरा नाचायो,बूढीले स्याललाई रमितामा देखिन्,Fate and Caution
2544,बूढो गोरु बेची चैतलाई पाखी,बखतमा तालमेल मिलाउन नलागी बठ्याइँ छाँट्नेलाई उपमा दिने कथन।,बूढो गोरु बेचेर चैतको खेतीमा फाइदा हुन्छ,बूढो गोरु बेचेर चैतमा नयाँ गोरु किन्ने योजना हुन्छ,बूढो गोरु बेचेपछि चैतको काम सजिलो हुन्छ,Fate and Caution
2545,"बेथाको निहुँ रुघा, कलहको बीउ ठट्टा",कहिलेकाहीँ रुघाखोकीबाट बढ्दै गएको रोगजस्तै ठट्टैठट्टाले पनि झगडाको रूप लिन्छ।,ठट्टा गर्दा कहिल्यै कलह हुँदैन,रुघा लागेकोले मात्रै बेथा हुन्छ,ठट्टा गर्ने मानिसले कहिल्यै झगडा गर्दैन,Social Behavior and Relationships
2546,बेल पाकेर कागलाई हर्ष न बिस्मात,आफूलाई उपयोगमा नआउने कुरा पाउनु नपाउनु बराबर हुन्छ।,कागले बेल खाएर हर्ष मनायो,बेल पाक्दा कागले बिस्मात गर्यो,कागले बेल पाक्न नपाउँदै खायो,Fate and Caution
2547,बेला न कुबेला बजी नयेला,समय सुहाउँदो किसिमले काम नगर्ने चाला।,बिना कारण र समय बोल्नु राम्रो हुन्छ,सधैं बोल्नुपर्छ चाहे बेला होस् या नहोस्,समयको कुनै महत्व हुँदैन,Fate and Caution
2548,"बैँस जा, बानी नजा",उमेर छिप्पिए पनि केटाकेटीदेखि लागेको बानी जाँदैन।,बैँस जाँदा बानी पनि जान्छ,बानी जाँदा बैँस आउँछ,बानी र बैँस दुवै सँगै जान्छन्,Social Behavior and Relationships
2549,बैँसमा (उमेरमा) स्याल पनि घोर्ले हुन्छ,बढ्दो उमेरमा सबै राम्रा हुन्छन्।,स्यालले मात्र घोर्ले हुन्छ,बुढेसकालमा स्यालले घोर्ले हुन सक्दैन,स्यालले मात्र उमेरमा शक्ति प्रदर्शन गर्न सक्छ,Social Behavior and Relationships
2550,बैगुनीलाई गुनले मार्नुपर्छ,बैगुनीलाई साटो नफेरी गुन लगाएर लज्जित पार्नुपर्छ ।,बैगुनीलाई मार्न गुन प्रयोग गर्नुपर्छ,गुन लगाएर बैगुनीलाई समाप्त गर्नुपर्छ,बैगुनीलाई गुन दिनु भनेको उसलाई नष्ट गर्नु हो,Social Behavior and Relationships
2551,बोकाले दाई हुने भए गोरु केलाई चाहियो,साना केटाकेटीबाट काम हुने भए ठूला मानिस चाहिने थिएनन् ।,बोकाले दाई भए भने गोरु काम नलाग्ने हुन्छ,बोकाले हलो जोत्न सक्छ,गोरु भन्दा बोका बलियो हुन्छ,Social Behavior and Relationships
2552,"बोलबोल मछली (माछा), मुखभरि पानी",बोल्नलाई पनि लाज वा अप्ठ्यारो र बोल्नै नहुने स्थिति।,माछा बोल्न सक्छ,मुखमा पानी भरियो भने बोल्न सकिन्छ,माछा बोल्दा मुखमा पानी आउँछ,Social Behavior and Relationships
2553,"बोल्नेको पीठो बिक्छ, नबोल्नेको चामल पनि बिक्दैन","आफ्ना हकहितका कुरामा बोल्नुपर्छ, चुप लागेर बस्नेको काम बन्दैन।",बोल्नेले सधैं झूट बोल्छ,नबोल्नेले कहिल्यै व्यापार गर्न सक्दैन,चामलभन्दा पीठो महत्त्वपूर्ण हुन्छ,Social Behavior and Relationships
2554,बौलाहा कुकुरलाई फूलबारीको डेरा,बुद्धिहीन वा मूर्ख मानिसलाई महत्त्वपूर्ण कुरा पनि व्यर्थ हुन्छ ।,कुकुरलाई फूल मन पर्छ,बौलाहा कुकुरले फूलबारीको रक्षा गर्छ,फूलबारीमा कुकुरले राम्रो काम गर्छ,Social Behavior and Relationships
2555,भताभुङ्ग देशको लथालिङ्ग चाला,सबै व्यवस्था नमिलेका देशको अवस्था राम्रो हुँदैन ।,देशको सबै मानिसले सधैं रमाइलो गरिरहेका छन्,देशमा सबै कुरा राम्रोसँग चलिरहेको छ,देशमा कुनै समस्या छैन,Social Behavior and Relationships
2556,"भन्न सजिलो, गर्न गाह्रो",बोल्नजस्तो सजिलो काम गर्न हुँदैन ।,"गफ दिन सजिलो हुन्छ, काम गर्न गाह्रो","बोल्न मात्र गाह्रो हुन्छ, गर्न सजिलो","जसले बोल्छ, उसले गर्न सक्दैन",Hard Work and Perseverance
2557,"भाइ फुटे, गवार लुटे",दाजुभाइमा कलझगडा परेमा बाहिरका मानिस आएर मडिया मार्छन्।,भाइहरू मिलेर गवारलाई लुट्छन्,भाइ फुट्दा गवारले लुट्न सक्छ,भाइ फुटे भने गवारले सहयोग गर्छ,Social Behavior and Relationships
2558,भाइङ्ग्राको टोपीलाई गुहेलीको फूल,पटक्कै नसुहाउने पहिरन वा रङ्गढङ्ग।,धनीलाई सस्तो सामान मन पर्छ,सुन्दरता सधैं बहुमूल्य हुन्छ,ठूला कुरा साना व्यक्तिहरूले मात्र गर्छन्,Social Behavior and Relationships
2559,"भान्सेको बिग्रिए एक छाक (एक दिन), किसानको बिग्रिए एक साल (वर्ष दिन)",दुःख गर्ने र उपयोग गर्नेमा धेरै फरक हुन्छ।,भान्सेको गल्तीले एक वर्षको खाना बिग्रन्छ,किसानको गल्तीले एक छाक मात्रै बिग्रन्छ,किसानको कामले भान्सेले गर्ने कामसँग कुनै सम्बन्ध हुँदैन,Fate and Caution
2560,भालुको मन खनिउँ (खनायो)-माथि,एउटै कुरामा धेरै झम्टा दिइरहने ।,भालुले खनिउँ (खनायो) भनेपछि माटो फल्छ,भालुले खन्यो भने सुन भेटिन्छ,भालुले खन्दा माटो सफा हुन्छ,Fate and Caution
2561,भीरको चिन्डो उँधो न उँभो,कतै पनि अड्न नसक्ने वा भेट्टाउन नसकिने वस्तु वा स्थिति।,चिन्डोले उड्न सक्दैन,भीरमा चिन्डोले सधैं तल झर्छ,चिन्डो उँधो मात्रै जान सक्छ,Fate and Caution
2562,"भीरबाट खसेको गाईलाई रामराम पो भन्न सकिन्छ, पिठ्यूँ थाप्न को सक्छ र?","बिग्रन लागेको मानिसलाई सहानुभूति प्रकट गर्न सकिन्छ, तर जिम्मेवारी लिएर रोक्न गाह्रो पर्छ ।",भीरबाट खसेको गाईलाई रामराम भन्दा उसलाई बचाउन सकिन्छ,गाईलाई पिठ्यूँ थापेर तल खस्नबाट रोक्न सकिन्छ,गाईलाई भीरबाट खस्न नदिन रामराम भन्नु नै पर्याप्त हुन्छ,Fate and Caution
2563,"भेडा भेडासँग, बाख्रा बाख्रासँग",सबै प्राणी आफ्ना-आफ्ना जातिसँग मिल्छन्।,भेडा र बाख्रा कहिल्यै सँगै बस्न सक्दैनन्,भेडा र बाख्राको सम्बन्ध झगडालु हुन्छ,भेडा र बाख्राको बिचमा सधैं प्रतिस्पर्धा हुन्छ,Social Behavior and Relationships
2564,"भोक न भकारी, शोक न सुर्ता",केही पनि फिक्री नभएको वा मगनमस्ती छाँट।,उपलब्धि भए पनि चिन्ता मात्र हुन्छ,धेरै भोक भए पनि खाना खान मन लाग्दैन,दुःख भए पनि समाधान सजिलै पाइन्छ,Fate and Caution
2565,"डाँडावारि खाऊँ, अघाएको भन्छ डाँडापारि खाऊँ","भोको वा हतारिएको मानिस चाँडै गरूँ, खाऊँ भन्छ; अघाएको र धनी मानिस चाहिँ पछि र परको भाका राखी सन्चमा पर्छ।","डाँडावारि मात्रै खाए पुग्छ, डाँडापारि जानु पर्दैन",डाँडावारिका मानिसहरू मात्र अघाउँछन्,डाँडापारि खाए भोक लाग्छ,Social Behavior and Relationships
2566,"म गर्छु आग्राको कुरा, सम्धी गर्छन् गाग्राको कुरा",दुई थरीका बीच सिलसिले नबुझी गरेको कुराकानी नमिल्दो हुन्छ वा त्यसमा आनका तान फरक पर्छ।,सम्धीले गाग्राको कुरा गर्दा आग्राको कुरा गर्न पाइँदैन,आग्राको कुरा सधैं गाग्रासँग सम्बन्धित हुन्छ,गाग्राको कुरा गर्दा आग्राको कुरा गर्नुपर्छ,Social Behavior and Relationships
2567,"मच्चियो, मच्चियो, आफैँ थच्चियो",कुनै काम गर्छु भनेर हुर्रिए तापनि केही गर्न नसकी जिल्लिएर बस्नुपर्ने स्थिति ।,मच्चियो भनेपछि अरूले थच्च्याउँछन्,मच्चिएर अरूले थच्च्याउँछन्,मच्चिनु भनेको सफल हुनु हो,Fate and Caution
2568,मनको बह कसैसँग नकह,भित्रको दुःख अरूलाई भन्नुमा केही अर्थ हुन्न।,मनको कुरा सबैसँग भन्नु पर्छ,मनको बह कहिल्यै भन्नु हुँदैन,मनको बह मात्र रिसाएको बेला भन्नु पर्छ,Social Behavior and Relationships
2569,मरेपछि डुमै राजा,आफैँ नरहेपछि जेसुकै होस् ।,डुमको मृत्युपछि उसलाई राजा मानिन्छ,राजा बन्नको लागि डुम हुनुपर्छ,डुम मरेपछि मात्रै राजाको जन्म हुन्छ,Fate and Caution
2570,मसान कुरे मुर्दा पाइन्छ,धेरै समयसम्म पर्खेपछि आफूले चिताएको कुरो भेट्टाइन्छ।,मसान कुरेपछि मुर्दा हराउँछ,मसान कुरेपछि जीवित मान्छे पाइन्छ,मसान कुरेपछि मुर्दा बाँच्छ,Fate and Caution
2571,मह काढ्नेले हात चाट्छ,काम गर्नेले फाइदा लिन खोज्छ।,मह काढ्नेले हात चाट्न पाइँदैन,मह काढ्नेले हात चाट्दा रोग लाग्छ,मह काढ्नेले हात चाट्न नजान्ने हुन्छ,Hard Work and Perseverance
2572,"मही माग्नु, ढुङ्ग्रो लुकाउनु",कुनै कुरा चाहेर पनि मुखले प्रकट गर्न नचाहनु,मही मागेर ढुङ्ग्रो लुकाएकोले सबै कुरा हराउँछ,ढुङ्ग्रो लुकाउँदा मही पाइन्न,मही माग्दा ढुङ्ग्रो लुकाउनु भनेको असम्भव काम गर्नु हो,Social Behavior and Relationships
2573,मागीमागी छोराको बिहे,मागेर काम चलाउने बानी ।,मागेर बिहे गर्दा राम्रो हुन्छ,छोराले मागेपछि मात्र बिहे गर्नुपर्छ,बिहे गर्नका लागि धेरै माग्नुपर्छ,Social Behavior and Relationships
2574,"माछा देखे दुलामा हात, सर्प देखे पाखामा हात",अवसरवादी मानिस जतापट्टि पनि लाग्छन् वा मौकाअनुसार चल्न खोज्छन्।,माछा पक्रन दुलामा हात हाल्नु पर्छ,सर्प पक्रन पाखामा हात राख्नु पर्छ,माछा र सर्प एउटै ठाउँमा बस्छन्,Fate and Caution
2575,माछोमाछो भ्यागुतो,अरूलाई झुक्कलमा पार्ने चाला |,माछा र भ्यागुतो एउटै प्रजातिका हुन्छन्,माछा र भ्यागुतो एकै ठाउँमा बस्न सक्दैनन्,माछा र भ्यागुतो सधैं लडिरहन्छन्,Social Behavior and Relationships
2576,माटाका भाँडालाई काठको मुङ्ग्रो,वस्तु वा ठाउँअनुसार व्यवहार गर्नुपर्ने हुन्छ।,माटाका भाँडालाई काठले सजाउनुपर्छ,माटाका भाँडालाई काठमा राख्नुपर्छ,माटाका भाँडालाई काठले बनाउनु पर्छ,Social Behavior and Relationships
2577,"माटाको धन गाँठ, हाडको धन हाड","खेतीपातीको आर्जन बचिरहन्छ, तर बस्तुभाउ लडेर, बाघले खाएर आदि किसिमले नोक्सान हुन सक्छन् ।","माटोले गाँठो लगाउँछ, हाडले धन कमाउँछ","माटोले धन जम्मा गर्छ, हाडले त्यो धन खाउँछ",हाडले माटोको गाँठो खोल्छ,Social Behavior and Relationships
2578,"मान न सम्मान (माने मान, नमाने पनि तँ मेरो (म तेरो) मेहमान",केही प्रतिष्ठा पाएको नभएर पनि अतिथिलाई झैँ मान्नुपर्ने अवस्था ।,मान सम्मान दिनु नै पर्दैन,मान सम्मान केवल देखावटी कुरा हुन्,मान सम्मानको कुनै मूल्य हुँदैन,Social Behavior and Relationships
2579,मानु खाएर मुरी उब्जाउने बेला,कमाइ गर्ने समय अर्थात् असार मासको धमाधम ।,मानु खाएर शरीर मोटो हुन्छ,मानु खाएर धेरै पैसा कमाइन्छ,मानु खाएर खेती गर्न सकिन्छ,Hard Work and Perseverance
2580,"मान्छेअनुसारको कुरा, कपालअनुसारको छुरा",सबै कुरा वस्तुअनुसार हुनुपर्छ ।,मान्छेअनुसारको कुरा गर्दा कपाल काट्न छुरा चाहिन्छ,कपालअनुसार छुरा बनाइन्छ,मान्छेअनुसार छुरा प्रयोग गरिन्छ,Social Behavior and Relationships
2581,मामाकी घोडी मेरी हीही,अरूको धनसम्पत्तिमा आनन्द लिने वा हाईहाई गर्ने चाला।,मामाको घोडी मसँगै बस्छिन्,मामाले घोडी मलाई दिएका छन्,मामाको घोडी मसँगै हिँड्छ,Social Behavior and Relationships
2582,"मामाले (बाजेले) घिउ खाए, मेरो मुख (हात) सुँघा॒सुँघ्",अरूले खाएगरेका कुरामा आफू धाकधक्कु लगाउने काम ।,"मामाले घिउ खाए, त्यसैले मेरो मुख सुँघ्नुपर्छ","मामाले घिउ खाए, त्यसैले मैले पनि घिउ खाएको छु","मामाले घिउ खाए, त्यसैले मलाई घिउ खान पाइँदैन",Fate and Caution
2583,"माल पाएर के गर्नु, चाल पाए पो हुन्छ",माल पाएअनुसार त्यसको महत्त्व पनि बुझ्नुपर्छ।,माल पाएपछि चालको आवश्यकता हुँदैन,चाल पाएपछि मालको कुनै मूल्य हुँदैन,चाल नभए पनि मालले सबै समस्या समाधान गर्छ,Wisdom and Knowledge
2584,मियाँको दौड मस्जिदतक (सम्म),सधैँ हिँड्ने वा काममा लाग्ने ठाउँसम्मको ताक।,मियाँ केवल मस्जिदसम्म दौड्न सक्छन्,मियाँको लक्ष्य सधैं मस्जिद मात्र हो,मियाँ अरू ठाउँ जानै सक्दैनन्,Fate and Caution
2585,"मुखमा रामराम, बगलीमा छुरा",मुखले राम्रो देखाउने तर पेटले कपटी व्यवहार गर्ने ।,धार्मिक व्यक्ति सधैं इमानदार हुन्छ,छुरा बोकेर हिँड्नेले सधैं झगडा गर्छ,मुखमा रामराम भनेकोले कहिल्यै झूट बोल्दैन,Social Behavior and Relationships
2586,"मुठी फुक्यो, चरो उड्यो",भेट्टाएको कुरो छोडिदिए फेरि पाइँदैन।,मुठी फुक्दा चरोले खाना पायो,मुठी फुक्दा चरोले गुँड बनायो,मुठी फुक्दा चरो नजिक आयो,Fate and Caution
2587,मुठीमा परेकी चरी पखेटा फटफटाउन सक्दिन,अर्काको अधीनमा बस्नुपर्नेले फुक्का हुन पाउँदैन।,चरी मुठीमा परेपछि उड्न सक्दिन,चरीलाई मुठीमा पक्रनु सजिलो हुन्छ,चरीलाई मुठीमा राखेपछि ऊ भाग्न चाहन्न,Fate and Caution
2588,मुर्दामाथिको कात्रो,सबै थोक गइसकेपछि थोरै अरू पनि गएर के भो र!,मुर्दालाई झन् सजिलो बनाउन कात्रो ओढाइन्छ,मृत व्यक्तिलाई सम्मान दिन कात्रो ओढाइन्छ,कात्रोले मुर्दालाई बचाउँछ,Fate and Caution
2589,"मूलको पानी, कुलकी छोरी",मूलको पानी राम्रो भएजस्तै घरानका छोरी पनि असल हुन्छन्।,मूलको पानी र कुलकी छोरी सधैं राम्रो हुन्छन्,कुलकी छोरीले सधैं कुलको इज्जत राख्छिन्,मूलको पानी जहिल्यै सफा हुन्छ,Social Behavior and Relationships
2590,मेरा गोरुको बाह्रै टक्का,आफैँले बोलेअनुसार होस् भनेर गरिने लिँडे ढिपी।,मेरो गोरु सधैं जित्छ,मेरो गोरु सबैभन्दा बलियो छ,मेरो गोरुले सधैं बाह्रवटा सिक्का पाउँछ,Social Behavior and Relationships
2591,"मौका आउँछ, पखदैन (बगेको खोलो फर्कदैन)",समय खोलाजस्तो हुनाले यसको महत्त्व बुझ्नुपर्छ।,मौका एकपटक मात्रै आउँछ र फेरि आउँदैन,"मौका पर्खेर बस्नुपर्छ, त्यसपछि मात्र काम गर्नुपर्छ",मौका पर्खेर बस्दा सफलता आफैँ आउँछ,Fate and Caution
2592,मौका (बखत) -मा हीरा फोर्नुपर्छ,बेलैमा खर्च गर्न पछि सर्नु हुँदैन ।,मौका आउँदा हीरा चोर्नुपर्छ,मौका आउँदा हीरा खानुपर्छ,मौका आउँदा हीरा बेच्नुपर्छ,Fate and Caution
2593,मौनं सम्मति लक्षणम्,चुप लाग्नु नै सहमति जनाउनु हो ।,मौन रहनु असहमति जनाउनु हो,चुप बस्नु कमजोरीको संकेत हो,मौनता भनेको डरको प्रतीक हो,Social Behavior and Relationships
2594,"यतिका बेर कुरा गयो, तल्ला घरकी बूढी जिउँदै",जति भने वा गरे पनि जस्ताको तस्तै।,तल्ला घरकी बूढीले लामो समयदेखि केही खाइरहेकी छैनन्,तल्ला घरकी बूढीलाई कसैले भेट्न गएको छैन,तल्ला घरकी बूढीले धेरै समयदेखि बोल्न छोडेकी छन्,Fate and Caution
2595,"यो कानले सुन्नू, ऊ कानले उडाउनू","आफूलाई मतलब नहुने कुरोकन्थो सुनेझैँ पनि गर्नू, चासो पनि नराख्नू।",यो कानले सुनेको कुरा तुरुन्तै बिर्सनु,कानले सुनेको कुरा तुरुन्तै अरूलाई भन्नु,कानले सुनेको कुरा मनमा नराख्नु,Social Behavior and Relationships
2596,"यो घरको नौरङ्गी चाला, जसले गर्ला उसले खाला",परिपन्च नमिलेका घरको उदाहरण दिँदा भनिने कथन ।,घरमा धेरै नियम छन् तर पालना गर्नुपर्दैन,"जसले काम गर्छ, उसले खान पाउँदैन",यो घरमा सबैले अरूको काम खान्छन्,Hard Work and Perseverance
2597,"रछानलाई चलायो, मुखभरि छिटा",नराम्रो मानिसलाई चलाए आफैँलाई दस थोक भन्छ।,रछान सफा गर्दा मुखमा छिटा पर्छ,छानो चलाउँदा घर भत्किन्छ,छानो चलाएपछि पानी पर्छ,Fate and Caution
2598,रत्नको कदर जौहरीले गर्छ,असल कुराको पहिचान गुणीले मात्र गर्न सक्छ ।,रत्नको कदर सधैं साधारण मानिसले गर्छ,रत्नको कदर कहिल्यै हुँदैन,रत्नको कदर केवल गरीबले गर्छ,Wisdom and Knowledge
2599,"रातभरि करायो, दक्षिणा हरायो",गरेको कामको फल वा ज्याला नपाएमा भने उक्ति ।,रातभरि कराउँदा दक्षिणा पाइन्छ,कराउनेले दक्षिणा दिन्छ,कराउनेले दक्षिणा हराउँदैन,Fate and Caution
